ibge7,ibge6,municipio,uf,regiao,ano_populacao,populacao,ubs,hospitais,centros_cirurgicos,centros_obstetricos,ubs_por_10k,hospitais_por_100k,centros_cirurgicos_por_100k,centros_obstetricos_por_100k,indice_lacuna,prioridade_exploratoria
3540200,354020,Pontal,SP,Sudeste,2025,38286,14,0,0,0,3.66,0.0,0.0,0.0,72.38,Alta
3540259,354025,Pontalinda,SP,Sudeste,2025,4198,1,0,0,0,2.38,0.0,0.0,0.0,87.3,Muito alta
3540309,354030,Pontes Gestal,SP,Sudeste,2025,2411,2,0,0,0,8.3,0.0,0.0,0.0,38.55,Moderada
3540408,354040,Populina,SP,Sudeste,2025,4182,1,0,0,0,2.39,0.0,0.0,0.0,87.22,Muito alta
3540507,354050,Porangaba,SP,Sudeste,2025,10850,0,0,0,0,0.0,0.0,0.0,0.0,99.98,Muito alta
3540606,354060,Porto Feliz,SP,Sudeste,2025,58605,12,0,0,0,2.05,0.0,0.0,0.0,90.55,Muito alta
3540705,354070,Porto Ferreira,SP,Sudeste,2025,53966,12,0,0,0,2.22,0.0,0.0,0.0,88.92,Muito alta
3540754,354075,Potim,SP,Sudeste,2025,20801,9,0,0,0,4.33,0.0,0.0,0.0,64.02,Alta
3540804,354080,Potirendaba,SP,Sudeste,2025,19097,5,0,0,0,2.62,0.0,0.0,0.0,84.91,Muito alta
3539806,353980,Poá,SP,Sudeste,2025,106355,16,0,0,0,1.5,0.0,0.0,0.0,94.32,Muito alta
3540853,354085,Pracinha,SP,Sudeste,2025,2589,2,0,0,0,7.72,0.0,0.0,0.0,39.32,Moderada
3540903,354090,Pradópolis,SP,Sudeste,2025,17299,3,0,0,0,1.73,0.0,0.0,0.0,92.77,Muito alta
3541000,354100,Praia Grande,SP,Sudeste,2025,368539,31,7,4,2,0.84,1.9,1.09,0.54,79.08,Muito alta
3541059,354105,Pratânia,SP,Sudeste,2025,5264,2,0,0,0,3.8,0.0,0.0,0.0,70.47,Alta
3541109,354110,Presidente Alves,SP,Sudeste,2025,3830,2,0,0,0,5.22,0.0,0.0,0.0,53.2,Alta
3541208,354120,Presidente Bernardes,SP,Sudeste,2025,14803,10,1,1,1,6.76,6.76,6.76,6.76,14.93,Baixa
3541307,354130,Presidente Epitácio,SP,Sudeste,2025,40322,14,0,0,0,3.47,0.0,0.0,0.0,74.98,Alta
3541406,354140,Presidente Prudente,SP,Sudeste,2025,234706,34,13,10,2,1.45,5.54,4.26,0.85,69.23,Alta
3541505,354150,Presidente Venceslau,SP,Sudeste,2025,35810,13,0,0,0,3.63,0.0,0.0,0.0,72.76,Alta
3541604,354160,Promissão,SP,Sudeste,2025,35973,16,1,1,1,4.45,2.78,2.78,2.78,42.36,Moderada
3541653,354165,Quadra,SP,Sudeste,2025,3477,1,0,0,0,2.88,0.0,0.0,0.0,81.63,Muito alta
